State,Year,Patents
Virginia,2009,1209
Virginia,2010,1726
Virginia,2011,1744
Virginia,2012,1817
Virginia,2013,2031
Virginia,2014,2184
Virginia,2015,2222
Washington,2002,2300
Washington,2003,2516
Washington,2004,2442
Washington,2005,2482
Washington,2006,3620
Washington,2007,3894
Washington,2008,4158
Washington,2009,4855
Washington,2010,5810
Washington,2011,5264
Washington,2012,5985
Washington,2013,6569
Washington,2014,7148
Washington,2015,7038
West Virginia,2002,166
West Virginia,2003,141
West Virginia,2004,111
West Virginia,2005,98
West Virginia,2006,111
West Virginia,2007,116
West Virginia,2008,91
West Virginia,2009,102
West Virginia,2010,134
West Virginia,2011,109
West Virginia,2012,142
West Virginia,2013,153
West Virginia,2014,137
West Virginia,2015,136
Wisconsin,2002,2119
Wisconsin,2003,2083
Wisconsin,2004,1975
Wisconsin,2005,1756
Wisconsin,2006,2151
Wisconsin,2007,1928
Wisconsin,2008,1921
Wisconsin,2009,1887
Wisconsin,2010,2232
Wisconsin,2011,2154
Wisconsin,2012,2289
Wisconsin,2013,2502
Wisconsin,2014,2651
Wisconsin,2015,2571
Wyoming,2002,61
Wyoming,2003,84
Wyoming,2004,55
Wyoming,2005,55
Wyoming,2006,56
Wyoming,2007,62
Wyoming,2008,41
Wyoming,2009,64
Wyoming,2010,89
Wyoming,2011,74
Wyoming,2012,125
Wyoming,2013,134
Wyoming,2014,131
Wyoming,2015,114
District Of Columbia,2002,65
District Of Columbia,2003,50
District Of Columbia,2004,80
District Of Columbia,2005,59
District Of Columbia,2006,69
District Of Columbia,2007,71
District Of Columbia,2008,71
District Of Columbia,2009,62
District Of Columbia,2010,87
District Of Columbia,2011,102
District Of Columbia,2012,148
District Of Columbia,2013,141
District Of Columbia,2014,171
District Of Columbia,2015,167
Guam,2002,2
Guam,2003,0
Guam,2004,0
Guam,2005,0
Guam,2006,0
Guam,2007,1
Guam,2008,3
Guam,2009,1
Guam,2010,0
Guam,2011,0
Guam,2012,0
Guam,2013,4
Guam,2014,3
Guam,2015,6
Puerto Rico,2002,22
Puerto Rico,2003,29
Puerto Rico,2004,20
Puerto Rico,2005,33
Puerto Rico,2006,26
Puerto Rico,2007,29
Puerto Rico,2008,18
Puerto Rico,2009,20
Puerto Rico,2010,28
Puerto Rico,2011,28
Puerto Rico,2012,39
Puerto Rico,2013,20
Puerto Rico,2014,41
Puerto Rico,2015,40
